S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
18,Pune Region,Solapur,148955,30555,53006,10395,9950,215,401,0,7881,241,92,8,15,110,0,6342,288,5424,2376,9233,9779,23
19,Pune Region,Pimpri-Chinchwad,183312,80179,38049,27209,10140,70,1794,0,5700,480,625,42,445,248,0,4961,294,7764,7180,4889,2473,228
20,Pune Region,Baramati,32730,1717,316,2622,1932,7,29,0,1421,0,95,1,18,24,6,2057,311,2370,2432,1690,3568,53
21,Pune Region,Akluj,5295,0,0,553,40,0,0,0,58,0,0,0,1,1,0,62,0,359,23,180,62,0
22,Nashik Region,Nashik,254410,79532,49215,33164,19492,91,2662,0,21503,768,228,188,132,232,2,7041,373,7951,3677,25023,17176,434
23,Nashik Region,Ahmednagar,110654,21478,32916,6549,5088,254,558,0,3930,746,40,19,21,71,14,3240,142,3314,2466,7513,6524,328
24,Nashik Region,Srirampur,128745,9202,18354,7995,6385,775,1842,0,3698,1,13,69,47,95,0,3624,316,3240,2746,12137,11661,181
25,Nashik Region,Malegaon,44849,5253,5708,3006,2452,2,672,0,5269,0,5,14,4,23,0,2467,72,2193,430,4037,5231,106
26,Dhule Region,Dhule,67426,15049,21372,6461,4266,135,1583,0,8187,636,140,42,10,63,0,5208,291,2985,1576,8274,7967,85
27,Dhule Region,Jalgaon,151722,31848,49811,10556,6012,524,1430,0,15275,726,286,57,673,120,0,4099,279,3958,2631,12981,13761,137
28,Dhule Region,Nandurbar,11087,78,1125,711,670,2,99,0,238,0,17,2,13,4,0,194,0,195,321,1311,1023,133
29,Aurangabad Region,Aurangabad,164118,56611,47110,18605,10316,263,2549,0,21897,2521,348,198,140,107,0,7265,639,6028,4223,9892,7036,174
30,Aurangabad Region,Jalna,44317,4596,7924,2254,2406,128,427,0,2266,242,5,13,11,58,0,993,119,1351,1090,4422,3810,25
31,Aurangabad Region,Beed,46814,6923,14382,4097,7478,1,87,0,4556,440,23,31,15,7,0,3152,235,1964,784,4557,4218,19
32,Latur Region,Latur,47830,6539,17877,4787,4149,387,516,0,6433,362,91,44,20,17,9,3423,83,2060,1384,4534,4383,8
33,Latur Region,Osmanabad,26934,1565,3586,2426,2507,54,231,0,2160,307,25,8,3,13,0,1842,49,1054,657,3879,3080,33
34,Latur Region,Ambejogai,1459,7,77,139,209,0,0,0,161,0,0,0,0,0,0,73,3,58,153,113,23,0
35,Nanded Region,Nanded,49440,10553,18291,4501,4818,42,168,0,10118,409,17,24,27,48,1,5276,223,974,175,2688,2414,4
36,Nanded Region,Parbhani,31137,2805,9007,1745,3300,19,333,0,4678,319,50,24,68,41,3,1518,67,1008,291,1732,1370,31
37,Nanded Region,Hingoli,18038,2463,6156,1426,1706,0,319,0,1878,7,88,0,6,30,0,842,43,747,190,2179,1632,5
38,Amrawati Region,Amrawati,74292,33642,64185,7781,3923,322,798,0,11506,496,202,22,24,68,2,3672,159,1461,1958,5134,4192,154
39,Amrawati Region,Buldhana,59518,6918,17378,2618,2767,180,1103,0,6141,438,134,38,29,78,0,1452,40,1455,1144,6449,5431,74
40,Amrawati Region,Yawatmal,50604,15284,31335,3852,3214,53,880,0,6673,396,212,22,11,52,74,2401,108,879,1089,2957,2917,49
41,Amrawati Region,Akola,47871,17240,27175,4842,3206,6,1368,0,6111,448,159,19,22,61,3,2641,65,967,962,3511,3115,91
42,Amrawati Region,Washim,29801,7415,13636,1769,1654,3,332,0,3143,0,64,11,0,30,0,707,21,426,508,3166,2661,18
43,Nagpur(U) Region,Nagpur,217934,200465,231602,48605,13551,662,1011,0,14308,2554,304,188,1192,293,918,11366,982,9575,4398,4830,4881,753
44,Nagpur(U) Region,Wardha,32274,16688,19668,2477,1309,28,134,0,2760,237,38,5,3,11,0,938,17,496,628,1573,1533,5
45,Nagpur(U) Region,Nagpur(East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Nagpur(R) Region,Nagpur,12038,1119,3116,498,184,0,50,0,228,149,0,2,121,3,66,300,3,467,248,472,199,11
47,Nagpur(R) Region,Gadchiroli,16265,3318,1820,476,733,1,213,0,211,4,8,5,22,49,4,179,11,206,35,1440,1373,6
48,Nagpur(R) Region,Chandrapur,64649,30519,32638,6580,4619,53,532,0,4306,358,64,56,81,179,34,5091,125,1501,1238,3910,3620,214
49,Nagpur(R) Region,Gondia,29994,10758,13484,2326,1529,0,212,0,219,2,19,14,17,15,4,413,11,412,119,2410,2380,17
50,Nagpur(R) Region,Bhandara,26502,8940,15087,1103,1075,9,112,0,648,239,20,21,46,31,8,620,29,260,187,3521,2542,9
