S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
37,Nanded Region,Hingoli,39862,2465,6451,3076,2977,0,0,346,3519,96,112,13,17,47,0,1435,62,1423,621,4014,2911,29
38,Amrawati Region,Amrawati,149522,40400,74731,13098,4719,329,0,1107,14788,527,254,47,25,173,0,5456,224,3188,3024,7077,5366,223
39,Amrawati Region,Buldhana,107467,8809,21674,3788,3428,186,0,1407,10839,440,133,83,19,118,0,2158,55,2865,2300,9642,6887,132
40,Amrawati Region,Yawatmal,97431,23943,38099,7571,3946,38,0,1147,10381,395,231,62,65,79,328,3493,113,2193,2044,6158,4857,58
41,Amrawati Region,Akola,89006,29627,30368,9320,3709,9,0,1816,9408,449,156,60,26,120,0,3520,60,2127,1824,5224,4196,184
42,Amrawati Region,Washim,53343,8976,15030,2770,2027,2,0,496,5377,0,41,21,0,52,0,907,16,948,971,5152,3789,16
43,Nagpur(U) Region,Nagpur,350638,271318,283371,79639,26181,842,0,2388,16058,1715,672,513,1292,454,867,12193,2016,11750,5792,5292,5166,1102
44,Nagpur(U) Region,Wardha,68450,17197,29317,4503,2185,61,0,269,4676,240,66,26,11,26,1,1295,23,1326,1722,4025,2511,139
45,Nagpur(U) Region,Nagpur(East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Nagpur(R) Region,Nagpur,75090,20734,19608,5516,3271,33,0,356,2018,1439,124,94,113,42,159,2810,75,2439,1012,4659,1436,370
47,Nagpur(R) Region,Gadchiroli,30637,5846,1879,1172,915,1,0,236,541,4,24,15,30,81,4,284,13,476,114,2597,1994,11
48,Nagpur(R) Region,Chandrapur,122687,37855,41896,12987,5561,54,61,723,6813,358,113,149,88,260,511,7599,168,2916,1718,6764,4887,356
49,Nagpur(R) Region,Gondia,63349,13812,14897,3897,1895,0,221,45,773,3,62,35,25,48,4,739,40,931,194,3617,3173,48
50,Nagpur(R) Region,Bhandara,54133,11194,18477,2597,1506,10,0,174,1027,241,34,37,66,59,164,1082,62,551,258,5588,3458,42
