S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
17,Pune Region,Pune,627420,308338,189832,173865,37838,950,10791,0,57832,5254,3836,449,1370,885,41,27396,3138,15254,17011,14657,9179,2512
18,Pune Region,Solapur,179466,33090,55845,11908,10352,215,537,0,8113,252,100,11,34,122,36,6992,367,6158,3444,9737,10315,88
19,Pune Region,Pimpri-Chinchwad,256462,93178,38999,41154,12330,65,4283,0,6000,600,1145,45,442,296,0,7515,299,9732,11126,5905,2985,494
20,Pune Region,Baramati,59888,2194,394,4674,2740,7,166,0,958,1,73,7,34,33,6,2887,342,3067,2935,4203,6136,133
21,Pune Region,Akluj,26402,5,1,2537,612,9,85,0,275,41,20,4,4,5,0,530,35,948,634,1825,1358,29
22,Nashik Region,Nashik,319262,91452,49216,43351,21827,91,3163,0,22709,822,237,210,172,263,2,7832,404,10829,4287,27770,17872,676
23,Nashik Region,Ahmednagar,146870,23464,34746,9009,6236,254,1123,0,4138,761,50,23,27,85,1,4205,199,4438,3519,8476,7265,874
24,Nashik Region,Srirampur,158596,10202,19556,10047,7109,775,2215,0,4239,0,15,97,53,109,0,4023,399,4051,3795,13478,12251,233
25,Nashik Region,Malegaon,68012,6022,3816,4069,2574,2,1017,0,5740,2,13,26,5,27,0,3112,89,2547,771,5687,6375,107
26,Dhule Region,Dhule,15461,23189,7561,4589,157,2194,0,9367,616,184,56,21,70,1,6563,290,3236,2164,9057,8587,114,
27,Dhule Region,Jalgaon,36192,51004,13569,6637,527,1925,0,16480,707,255,62,1534,112,0,4732,278,4307,3704,15187,14802,165,
28,Dhule Region,Nandurbar,78,1181,1418,958,501,164,0,316,7,17,7,20,7,0,309,59,360,664,2373,1678,146,
29,Aurangabad Region,Aurangabad,60494,46964,23099,13132,1372,2388,0,23687,3065,400,302,275,153,0,7291,1259,7494,6999,11897,8278,242,
30,Aurangabad Region,Jalna,5540,7864,2861,2481,128,443,0,2145,242,2,29,27,67,0,924,147,1520,1920,5073,4132,35,
31,Aurangabad Region,Beed,6979,15004,4114,7918,1,87,0,5210,440,45,42,16,7,0,2882,179,2073,1814,4905,4376,25,
32,Latur Region,Latur,7494,20042,6857,4546,387,647,0,7546,360,108,50,25,36,9,4091,90,2361,2676,5726,4906,12,
33,Latur Region,Osmanabad,1670,3700,3713,2888,54,297,0,3010,307,16,32,1,15,0,2290,92,1914,1595,4571,3401,88,
34,Latur Region,Ambejogai,49,662,1065,1292,0,0,0,1481,0,0,3,0,0,0,829,13,360,1122,768,500,3,
35,Nanded Region,Nanded,10836,19623,5596,5217,58,249,0,12093,422,281,45,36,72,1,6222,227,1176,791,3093,2680,6,
36,Nanded Region,Parbhani,2902,9559,2495,3667,18,381,0,5566,319,49,23,27,80,50,1929,79,1139,731,2522,1814,88,
37,Nanded Region,Hingoli,2465,6190,1813,1954,0,321,0,2471,10,91,0,6,37,0,1005,52,892,351,2686,2009,20,
38,Amrawati Region,Amrawati,103110,35969,68881,9562,4243,329,903,0,12781,521,202,26,24,87,0,4070,166,1906,2539,5500,4462,172
39,Amrawati Region,Buldhana,77631,7564,18773,2923,2827,183,1188,0,7945,440,133,53,22,84,0,1750,52,1902,1674,7172,5692,87
40,Amrawati Region,Yawatmal,67071,16909,34042,4727,3337,53,915,0,8464,395,192,31,56,59,285,2841,113,1314,1490,3778,3429,58
41,Amrawati Region,Akola,64226,19301,29761,5760,3397,6,1541,0,7315,450,160,35,25,68,0,2880,77,1332,1261,3719,3270,119
42,Amrawati Region,Washim,37642,7694,14291,2050,1753,3,348,0,3892,0,62,13,0,34,0,822,12,620,673,3628,2882,18
43,Nagpur(U) Region,Nagpur,273299,219740,252988,59837,17631,842,1350,0,14952,1901,310,264,1165,327,853,11980,1048,9714,5224,4869,4871,1078
44,Nagpur(U) Region,Wardha,48096,17354,22871,3026,1504,28,140,0,3432,239,42,10,2,14,0,1050,17,948,965,2174,1773,38
45,Nagpur(U) Region,Nagpur(East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Nagpur(R) Region,Nagpur,30466,11139,11207,1744,667,33,126,0,851,479,27,35,110,12,75,1335,12,1131,591,1609,543,93
47,Nagpur(R) Region,Gadchiroli,21274,4038,1833,670,827,1,216,0,394,4,13,6,28,56,4,210,10,286,66,1812,1608,6
48,Nagpur(R) Region,Chandrapur,87119,32516,36342,8352,4927,51,588,0,5695,358,69,86,83,194,170,6483,131,2089,1500,4893,4068,240
49,Nagpur(R) Region,Gondia,41219,12091,14322,2887,1615,0,213,0,459,2,28,27,21,23,4,570,35,645,168,2881,2711,24
50,Nagpur(R) Region,Bhandara,37566,8971,16414,1691,1184,9,122,0,906,239,28,27,65,35,153,1071,44,476,248,4391,2950,18
