S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
30,Aurangabad Region,Jalna,81314,5603,8509,4647,3561,128,0,669,3804,242,9,22,0,110,0,1698,197,1909,2350,7149,4805,161
31,Aurangabad Region,Beed,68646,7160,15746,4156,8717,1,0,87,6029,440,74,49,16,7,0,2773,140,2321,3050,5304,4528,27
32,Latur Region,Latur,82479,8877,21809,8305,5150,387,0,734,8439,372,155,62,33,41,13,5127,90,2662,3843,6889,5564,51
33,Latur Region,Osmanabad,51547,1928,3878,4729,3310,54,0,417,3803,307,7,65,3,20,0,3285,159,3002,2648,5473,3930,123
34,Latur Region,Ambejogai,17793,68,1241,1619,1697,0,0,35,2225,0,3,5,0,0,0,1195,39,389,1341,1287,1081,0
35,Nanded Region,Nanded,84084,11909,21277,6684,5619,58,0,555,14176,427,284,39,48,98,4,6642,307,1700,1781,3513,2828,18
36,Nanded Region,Parbhani,54851,3189,9900,3103,3700,18,309,115,6803,319,44,23,8,95,180,2340,110,1191,1186,3434,2212,111
37,Nanded Region,Hingoli,34558,2465,6432,2774,2659,0,0,350,3158,96,126,13,11,47,0,1384,62,1252,512,3736,2749,22
38,Amrawati Region,Amrawati,129761,38911,72959,11027,4532,329,0,1095,14182,525,235,41,24,106,0,4926,224,2751,2893,6643,4996,205
39,Amrawati Region,Buldhana,98086,8214,20734,3315,3118,186,1363,49,9725,440,133,73,19,94,0,2067,54,2509,2124,8795,6362,124
40,Amrawati Region,Yawatmal,84995,19948,36607,6564,3593,38,9,1127,9623,395,209,46,56,70,313,3369,113,1925,1919,5643,4434,58
41,Amrawati Region,Akola,78815,25277,30289,7727,3620,8,1162,617,8751,450,155,47,26,83,0,3315,59,1816,1626,4626,3755,164
42,Amrawati Region,Washim,47686,8362,14908,2463,1885,2,0,492,4824,0,45,15,0,38,0,896,13,830,881,4844,3507,15
43,Nagpur(U) Region,Nagpur,323215,254349,272712,71262,23561,842,0,2126,15310,1642,557,365,1251,362,563,11477,1591,11076,5640,5157,5033,1086
44,Nagpur(U) Region,Wardha,61744,17197,26812,4015,1961,61,0,220,4184,239,61,20,6,18,0,1238,22,1153,1578,3701,2320,114
45,Nagpur(U) Region,Nagpur(East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Nagpur(R) Region,Nagpur,60761,17977,15787,4043,2183,33,0,296,1468,1138,84,49,118,29,105,2431,58,1976,888,3625,1130,310
47,Nagpur(R) Region,Gadchiroli,26892,5096,1833,863,875,1,0,224,479,4,18,12,30,66,4,278,11,424,100,2289,1864,11
48,Nagpur(R) Region,Chandrapur,109202,35980,40135,10854,5191,51,0,697,6454,358,96,125,85,226,423,7462,151,2578,1666,6221,4530,302
49,Nagpur(R) Region,Gondia,54238,13113,14709,3380,1747,0,191,37,630,3,43,32,22,29,4,632,40,765,177,3267,2935,34
50,Nagpur(R) Region,Bhandara,47946,9709,18016,2178,1366,10,0,145,978,241,29,35,69,58,172,1095,61,447,244,5134,3285,41
